"","UF","pico"
"1","SP",2020-06-18
"2","MG",2020-07-31
"3","RJ",2020-06-22
"4","BA",2020-07-13
"5","PR",2020-08-26
"6","RS",2020-07-27
"7","PE",2020-06-20
"8","CE",2020-06-27
"9","PA",2020-06-22
"10","SC",2020-07-21
"11","MA",2020-06-16
"12","GO",2020-10-04
"13","AM",2020-06-12
"14","ES",2020-06-29
"15","PB",2020-07-08
"16","RN",2020-07-14
"17","MT",2020-08-28
"18","AL",2020-07-19
"19","PI",2020-08-22
"20","DF",2020-07-10
"21","MS",2021-01-08
"22","SE",2020-07-21
"23","RO",2020-07-09
"24","TO",2020-08-10
"25","AC",2020-07-21
"26","AP",2020-06-14
"27","RR",2020-07-07
